mz_rt	6	10	14	18	20	26	34	35	43	49	61	69	73	74	76	77	84	93	96	99	101	105	111	113	119	132	151	154	160	blank1	blank2	blank3	blank4	QC00	QC0	QC1	QC2	QC3	QC4	QC5
620.59742_6.137	41403549.56	84240295.62	112931399.4	14137184.68	27138921.24	1489945.568	42790605.61	61839824.81	307433168.3	491315291.3	52570303.22	171477955.1	92059856.73	69473765.61	114756852.5	40517033.16	269540388.3	350674690.5	32558390.43	10222748.13	54081.79876	62379.54065	4350541.77	668607.6213	452217.7607	12787532.66	331719799.5	14795138.82	1334067.088	35496.86447	40062.35746	43598.76859	40159.73471	97099602.73	97581246.5	98176348.36	97106837.59	98103164.55	98341194.65	98332566
402.39386_2.229	62864273.25	195490877.5	164689456.7	65467495.44	74590755.11	6243626.341	270457473.8	197207647.9	511019937.8	426099274.3	179512415.2	399510475.2	154085425.5	359517931.1	235173455.5	207667746.7	252813479.9	380715936.9	287032527.4	80906131.38	5496562.118	3831915.057	6604815.14	5243641.577	5171293.36	136857975.1	420632771.5	35081722.93	9925639.652	3353190.578	3383138.411	4939090.025	3781373.628	194534339.8	200934575.9	191458792.4	200904370.6	197091029	198378008.8	186205813.7
902.81638_9.263	2228852.224	103605496.7	29520314.03	2493833.426	3367975.809	7114230.418	189823760.7	37837935.65	111814481.3	119500959	24667327.62	522406764.9	25085964.5	92697816.83	106365493.9	40558932.46	41557816	43128321.11	11255714.68	15268859.3	74797777.21	72370349.81	66351367.84	32600062.16	33660046.44	72884384.41	303374288.7	22472013.3	59530437.65	984042.8431	887721.7764	997153.6769	923647.4357	89935968.81	91082100.56	91228230.39	91242929.5	91028994.68	90149879.25	90951996.51
520.33303_0.755	1331302.426	1033167.368	203348874	913316.6383	818607.6134	18320286.73	1103080.398	1146756.245	764150.8146	1468279.897	50271954.53	249753988	2538970.144	123410137.7	967531.1199	466916084.9	881577.6131	11579125.52	1293037.602	1640248.849	1034196.688	1296206.029	8059826.294	6133303.968	2122343.125	1397380.515	3272185.126	35596657.07	261624845.6	383908.4613	354633.1454	314395.6938	231449.5595	126884031.7	125879239.8	125866677.4	126319854.8	126291736.2	127708605	127761798
624.62884_7.206	87485124.68	124448486.9	138300955	80606325.53	81666443.62	2589705.451	259108042.5	145174270.1	374453665.9	423788623.1	43794770.8	280270993.6	138615229.8	280524725.8	269529253	131601722.2	270801678.3	446870020.8	270460427	44661861.53	530304.7811	2423489.815	11527902.25	1472700.978	547259.2258	44084916.32	248012769.1	16205863.55	11128753.42	764730.6893	292414.2772	662957.2511	584407.6728	122911191.9	134051585.5	132914387.1	138784713.4	135524613.1	132962074.1	133780433.3
880.83361_9.257	2494170.01	98770656.79	28472763	3063963.391	3840614.834	8444714.838	171648578.4	36140233.73	115705414.8	125688558.1	24382019.3	530677676.5	26625712.96	84093194.36	98141417.17	39281350.28	42668069.48	26837702.41	12279316.09	16930416.56	80986677.97	72380948.41	72418743.32	32745132.18	33812342.56	71870573.58	287112458.8	23724143.87	59561812.28	846245.2254	861339.3	632203.3925	703357.4843	100572082.9	87615958.81	87067065.87	7013915.997	86757737.62	95328670.7	91218717.16
634.45226_1.9	8857729.116	2108607.07	2050438.354	2217539.645	1802607.118	444104661.5	2023952.684	1998293.769	9117157.458	2492908.602	17254854.84	2725619.404	22838756.43	2901930.044	2604649.163	4178053.448	1381575.635	5981886.098	5901001.305	16787078.5	2877829.847	2035843.164	2250501.908	39329414.51	37286518.48	2695681.302	4021024.786	3992384.123	1341396.108	1081931.024	1076033.574	1112524.18	1110009.392	39878860.2	39877918.76	39879568.76	40072280.96	39989999.83	39918265.49	40317352.16
900.80087_8.907	1172844.43	38606495.86	11343101.06	1153650.115	1634582.453	3014381.267	101687603.3	7864506.512	27244892.5	39600242.45	8355946.298	410544894.6	9663528.02	17112176.4	63059586.38	13160263.35	16098744.11	17196119.92	5735234	7238011.923	31507653.09	36607135.2	29078293.84	14828401.1	17092634.29	31790306.34	172489518.5	9156192.239	40483623.72	915365.938	722550.4681	380016.8741	289485.1175	45871712.02	47253299.23	47305694.5	47733560.67	46927174.46	46575446.88	47428408.23
634.45249_1.898	9380293.99	1279589.92	1438347.824	1898009.694	1524931.568	494369895.1	1291967.431	1399217.334	8805172.948	1220020.301	172810.4352	1689623.906	38000155.44	2182522.933	1905643.768	3586204.701	591655.3923	4230497.503	4996084.07	16856696.27	2784164.557	1974376.129	2188243.266	35793992.25	34514527.07	2360240.128	2612154.279	4789537.69	1290384.699	1047202.504	1037976.257	1076289.896	1071229.625	38160035.36	38247012.83	35163611.67	35035874.11	493755.5168	35938041.33	35362626.78
590.42596_1.913	8031073.085	1842767.814	2103493.884	2204732.928	1732085.194	427192470.6	1676800.798	2047868.288	8634725.634	2211278.737	16538599.12	2639624.66	23606761.05	2518471.488	2244616.989	3943719.119	1568388.477	5213060.717	5881697.508	15997560.29	2910154.452	1842291.491	148404.008	39043025.31	35029248.36	1574162.013	3978150.895	3990858.661	1498893.406	1177982.083	1178067.383	1149277.288	1128353.333	37869168.61	37811946.83	37888082.81	37825400.84	37851194.44	37972338.14	38271321.85
328.32096_1.588	73965522.75	106553151.1	112447909	40368485.62	57658264.52	11173814.13	55749253.24	89574694.14	417389701.9	305441236.2	89253745.24	283714841.1	121049397.2	101931178	112161414.6	74274809.23	195674823.5	292517482	66137476.11	24330373.84	9848708.543	6211622.392	7945962.794	7311969.027	6111524.103	26357506.68	272769603.8	29724457.48	9191405.037	5940922.828	6136471.103	6368203.509	6760428.444	117921107	117163082	117544495.3	117888284.2	117613852.8	118093979.1	118365597.7
900.80084_8.801	1214275.215	89863496.5	20039484.13	1789281.663	1714311.139	3934058.99	90563687.69	31673823.37	65582687.04	71846584.99	24090914.58	407627630.1	16770563.5	58434893.12	65815371.29	24075906.53	19347043.07	17600039.13	4584686.236	11536884.88	41574274.39	55167763.18	40518175.37	28761677.49	14196383.04	61023554.38	252347347.3	22626042.66	31156994.23	927243.1659	754200.234	578007.4026	594104.6282	62025710.07	63445163.76	63541660.63	64515064.95	63564260.37	63351586.23	63599097.37
898.78503_8.438	829310.3353	68273801.65	15465948.66	1774353.827	1799707.657	3395487.562	85463766.98	12055869.89	21370413.94	29052129.26	15040292.53	409441607.9	6874769.971	12749339.05	69784780.86	12462191.3	10945623.32	14546352.65	2494752.571	10216148.14	22845973.96	43487323.15	29639477.25	23107844.75	12921912.41	45718207.59	256406183	15140823.65	25890709.6	822095.2575	799312.5366	815615.1183	856728.1527	54793198.35	55608609.22	55643859.31	56063834.2	55555628.61	55513143.84	55536634.87
590.42635_1.913	6781240.907	1373560.086	1547581.524	2011533.885	1594963.456	452307322.6	1166744.841	1311540.927	7329241.972	1560175.088	14272895.18	2518057.051	19333397.27	1818832.471	1538874.458	2807070.401	1159613.303	3804121.659	4321873.929	203118.3474	2534064.277	1545062.376	1739921.734	33142973.06	28860510.13	1238915.468	3868787.747	3489220.857	1116702.954	1127746.774	1133999.601	1095212.384	1095761.739	34195997.46	33999396.13	34219652.12	36441309.58	205043.2525	34229696.91	34169766.42
460.26912_1.141	295857901.4	301277524.4	256498797.7	273488500.7	295942394.1	359362935.3	292148076.2	316004317.1	41854035.12	373405013.1	308994457.7	201159931.6	61542855.88	62133079.5	325377749.4	287374223.2	360770021.7	305057624.4	305254407.5	300244501.3	273012380.2	328849469.2	314788574.9	9793749.555	270853809.8	323943983.6	233721895.9	34152251.09	300227727.9	1479885.64	1761882.119	3266950.008	3873053.256	265251657.1	336548181.5	321335448.7	356861311.8	358096651.3	362130821.5	328887995.3
354.33659_1.768	70122820.1	109332900.1	121971089.8	35882382	53635196.93	6023126.42	46846915.51	95041056.2	388753039.5	291363407.4	138338294.2	261867848	121897824.8	110523195.8	118971911.9	66115203.9	213683042.2	277009743.7	67371748.16	22862983.96	5805954.748	4509785.68	5605508.211	5307415.036	4541944.792	20609144.4	217899225	33379646.66	7320627.479	4776795.791	4390285.741	5065997.921	4387872.376	114317868	114727694.2	119153823.4	114976577.1	114161372.7	114309977.6	113609078.9
876.80093_9.202	11837441.03	116935499.9	35972902.34	3838413.158	5495905.355	10791475.58	135675045.4	130094067.7	320722842.6	374396425.8	31290572.03	393659818.6	44766763.61	252659289.3	105237719.9	70155054.13	48886740.94	42774561.69	11395907	20650381.71	65039057.16	89257074.42	73045975.72	46988233.7	37029645.26	74557569.88	276238963.7	29958117.09	70114753.93	2751809.528	2485610.078	2583283.133	2366228.217	114350359	113957432.9	115459993.1	115542733.6	116063660.3	116050359.8	114907530.1
878.81769_8.803	1886122.071	82806384.11	18452463.97	1984771.846	1839042.028	4253082.703	82507647.99	29542221.84	68576875.56	67708755.19	22334916.67	372055330.3	15738804.39	16138719.27	61204180.4	23223347.86	18207883.26	16334870	4249957.839	10647726.88	38920752.9	51578518.47	37637442.53	27171861.45	13145482.76	56227210.85	230878649.8	21202344.65	31247281.82	1214442.345	923599.5386	782422.5353	936285.8941	59518442.3	59367082.32	59224380.75	60568108.65	59457104.49	58964398.15	59201336.31
400.37827_1.972	69321648.01	127152347.8	128290309.6	41528091.76	71486785.68	5620647.85	148499049.8	128989660.6	391503675.5	383838853.6	130940164.4	297175606.6	147237582.2	233327646.6	157797247.3	120060677.9	216702994.6	332980813.4	158120277.2	29566701.49	4787646.548	3113703.37	3689449.192	3732780.157	2969865.216	36618831.78	287238383.4	48435854.4	5310144.876	3838467.314	4062860.032	4522381.015	4517344.389	152395945.9	152087690.6	153296137.6	153243711	152892256.5	153484955	154584779.5
