mz	rt	IonMode
844	1043.97706	9.819	Positive
845	931.85179	8.766	Positive
846	952.83279	9.104	Positive
847	960.89527	9.361	Positive
848	550.85186	0.72	Positive
849	1069.99251	9.812	Positive
850	530.45997	2.489	Positive
851	918.84849	9.542	Positive
852	974.87487	7.743	Positive
853	950.91069	9.566	Positive
854	896.77032	8.52	Positive
855	762.47876	2.616	Positive
856	486.37926	1.945	Positive
857	486.04798	1.942	Positive
858	478.23551	1.486	Positive
859	918.84842	9.546	Positive
860	665.50016	2.221	Positive
861	908.79133	7.905	Positive
862	1245.68126	0.742	Positive
863	834.75515	8.558	Positive
864	816.64813	7.049	Positive
865	1384.95939	4.973	Positive
866	834.75493	8.587	Positive
867	905.75685	8.821	Positive
868	354.33678	2.215	Positive
869	722.6481	7.014	Positive
870	854.79648	9.304	Positive
871	1440.96275	3.286	Positive
872	960.85919	7.953	Positive
873	926.85418	9.594	Positive
874	783.57328	4.852	Positive
875	650.41434	0.938	Positive
876	908.84244	9.594	Positive
877	664.62418	5.926	Positive
878	698.49927	3.214	Positive
879	876.68455	6.987	Positive
880	828.72922	7.3	Positive
881	590.5511	4.477	Positive
882	892.83288	9.015	Positive
883	616.51512	3.04	Positive
884	1028.09335	0.742	Positive
885	945.86739	9.044	Positive
886	876.59795	1.891	Positive
887	300.28968	1.179	Positive
888	834.75519	8.555	Positive
889	589.33079	1.952	Positive
890	1469.0211	7.725	Positive
891	390.35805	1.523	Positive
892	858.81854	9.493	Positive
893	676.66064	7.223	Positive
894	788.61664	7.003	Positive
895	876.82814	9.487	Positive
896	858.81874	9.493	Positive
897	944.86424	9.558	Positive
898	897.75306	7.574	Positive
899	372.3471	1.621	Positive
900	711.49446	3.396	Positive
901	906.60676	4.857	Positive
902	356.35232	2.566	Positive
903	1229.70767	0.734	Positive
904	1044.98907	9.816	Positive
905	740.4644	0.744	Positive
906	974.8386	7.335	Positive
907	810.75486	9.048	Positive
908	974.87487	7.943	Positive
909	986.91082	9.343	Positive
910	281.13836	1.124	Positive
911	870.75467	8.173	Positive
912	944.86399	8.611	Positive
913	726.5306	4.04	Positive
914	783.5732	4.846	Positive
915	986.66163	1.826	Positive
916	862.74984	7.46	Positive
917	1753.37542	10.079	Positive
918	582.58264	6.294	Positive
919	517.33545	1.115	Positive
920	726.53065	4.039	Positive
921	932.86395	9.07	Positive
922	646.61379	6.772	Positive
923	856.7602	7.619	Positive
924	988.85373	7.216	Positive
925	721.4714	3.286	Positive
